job,stage,condition,seed,metric,value,source
upsampling/s128_n3000_transpose_conv_seed42,upsampling,s128_n3000_transpose_conv,42,final_val_mse,0.03739895442128181,jobs/upsampling/s128_n3000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_locality_aware_seed42,upsampling,s128_n3000_locality_aware,42,test_mse,0.011820863984525204,jobs/upsampling/s128_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_locality_aware_seed42,upsampling,s128_n3000_locality_aware,42,test_ssim,0.8855802424748739,jobs/upsampling/s128_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_locality_aware_seed42,upsampling,s128_n3000_locality_aware,42,best_val_mse,0.011827663520971934,jobs/upsampling/s128_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n3000_locality_aware_seed42,upsampling,s128_n3000_locality_aware,42,final_val_mse,0.011989117555320263,jobs/upsampling/s128_n3000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n6000_transpose_conv_seed42,upsampling,s128_n6000_transpose_conv,42,test_mse,0.03569330797592799,jobs/upsampling/s128_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n6000_transpose_conv_seed42,upsampling,s128_n6000_transpose_conv,42,test_ssim,0.7060285709698995,jobs/upsampling/s128_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n6000_transpose_conv_seed42,upsampling,s128_n6000_transpose_conv,42,best_val_mse,0.03568627146879832,jobs/upsampling/s128_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n6000_transpose_conv_seed42,upsampling,s128_n6000_transpose_conv,42,final_val_mse,0.03568627146879832,jobs/upsampling/s128_n6000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n6000_locality_aware_seed42,upsampling,s128_n6000_locality_aware,42,test_mse,0.011364392548799515,jobs/upsampling/s128_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n6000_locality_aware_seed42,upsampling,s128_n6000_locality_aware,42,test_ssim,0.8875095330874125,jobs/upsampling/s128_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n6000_locality_aware_seed42,upsampling,s128_n6000_locality_aware,42,best_val_mse,0.011441261554757755,jobs/upsampling/s128_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s128_n6000_locality_aware_seed42,upsampling,s128_n6000_locality_aware,42,final_val_mse,0.011745664837459723,jobs/upsampling/s128_n6000_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n600_transpose_conv_seed42,upsampling,s256_n600_transpose_conv,42,test_mse,0.03691789285341899,jobs/upsampling/s256_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n600_transpose_conv_seed42,upsampling,s256_n600_transpose_conv,42,test_ssim,0.702793586730957,jobs/upsampling/s256_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n600_transpose_conv_seed42,upsampling,s256_n600_transpose_conv,42,best_val_mse,0.03658089614907901,jobs/upsampling/s256_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n600_transpose_conv_seed42,upsampling,s256_n600_transpose_conv,42,final_val_mse,0.03658089614907901,jobs/upsampling/s256_n600_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n600_locality_aware_seed42,upsampling,s256_n600_locality_aware,42,test_mse,0.01554480175425609,jobs/upsampling/s256_n600_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n600_locality_aware_seed42,upsampling,s256_n600_locality_aware,42,test_ssim,0.8529266570409139,jobs/upsampling/s256_n600_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n600_locality_aware_seed42,upsampling,s256_n600_locality_aware,42,best_val_mse,0.015497650183737279,jobs/upsampling/s256_n600_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n600_locality_aware_seed42,upsampling,s256_n600_locality_aware,42,final_val_mse,0.015638779665033024,jobs/upsampling/s256_n600_locality_aware_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n3000_transpose_conv_seed42,upsampling,s256_n3000_transpose_conv,42,test_mse,0.036533653010924656,jobs/upsampling/s256_n3000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n3000_transpose_conv_seed42,upsampling,s256_n3000_transpose_conv,42,test_ssim,0.7030730147361756,jobs/upsampling/s256_n3000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
upsampling/s256_n3000_transpose_conv_seed42,upsampling,s256_n3000_transpose_conv,42,best_val_mse,0.03617057059208552,jobs/upsampling/s256_n3000_transpose_conv_seed42/attempt_001/metrics/run_summary.json
