/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[swinir_with_li] step 17200/20000 g=1.4229 pix=0.0351 1.86 it/s
[swinir_with_li] step 17300/20000 g=1.4504 pix=0.0362 1.86 it/s
[swinir_with_li] step 17400/20000 g=1.4582 pix=0.0352 1.86 it/s
[swinir_with_li] step 17500/20000 g=1.3703 pix=0.0298 1.86 it/s
[swinir_with_li] step 17600/20000 g=1.4279 pix=0.0454 1.86 it/s
[swinir_with_li] step 17700/20000 g=1.7028 pix=0.0457 1.86 it/s
[swinir_with_li] step 17800/20000 g=1.5171 pix=0.0493 1.86 it/s
[swinir_with_li] step 17900/20000 g=1.6815 pix=0.0451 1.86 it/s
[swinir_with_li] step 18000/20000 g=1.3896 pix=0.0400 1.86 it/s
[swinir_with_li] step 18100/20000 g=1.8717 pix=0.0583 1.86 it/s
[swinir_with_li] step 18200/20000 g=1.7414 pix=0.0557 1.86 it/s
[swinir_with_li] step 18300/20000 g=1.5637 pix=0.0423 1.86 it/s
[swinir_with_li] step 18400/20000 g=1.5136 pix=0.0381 1.86 it/s
[swinir_with_li] step 18500/20000 g=1.3605 pix=0.0356 1.86 it/s
[swinir_with_li] step 18600/20000 g=1.4936 pix=0.0383 1.86 it/s
[swinir_with_li] step 18700/20000 g=1.4998 pix=0.0425 1.86 it/s
[swinir_with_li] step 18800/20000 g=1.5690 pix=0.0460 1.86 it/s
[swinir_with_li] step 18900/20000 g=1.5995 pix=0.0415 1.86 it/s
[swinir_with_li] step 19000/20000 g=1.5840 pix=0.0421 1.86 it/s
